image_id,lat,lon,continent,region,captured_at,country
420541999778839,41.050736816789,28.994734110326,Asia,"Istanbul, TR",1639221948000,TR
932690717551437,41.044369961623,28.993470742119,Asia,"Istanbul, TR",1525588939708,TR
306524797521464,-1.256340861018,36.855026073727,Africa,"Nairobi, KE",1428509345084,KE
784880642466771,41.893211,12.493513,Europe,"Rome, IT",1537886154000,IT
149275933811998,-23.550068985709,-46.649000060007,South America,"Sao Paulo, BR",1421599303000,BR
173590481337853,31.631848980521,-7.9558242106575,Africa,"Marrakech, MA",1523804781000,MA
1156318074809735,43.681071298519,-79.356696659691,North America,"Toronto, CA",1579099213232,CA
515804286279280,-37.805455357525,144.97478912323,Oceania,"Melbourne, AU",1570845937023,AU
509292193446237,-1.2553627025638,36.856419694127,Africa,"Nairobi, KE",1596294405729,KE
2860732834255854,37.580024865419,126.99425975129,Asia,"Seoul, KR",1393588789135,KR
809770409663516,43.675948,-79.355358,North America,"Toronto, CA",1579104481183,CA
999894177799703,-36.850248623884,174.76866192991,Oceania,"Auckland, NZ",1694336959666,NZ
1111747665975608,6.4942846724916,3.399268173402,Africa,"Lagos, NG",1537186247147,NG
133598995497914,34.049577895087,-118.25519315928,North America,"Los Angeles, US",1593533522020,US
1376395214174814,28.61861732083,77.206167544953,Asia,"Delhi, IN",1772000294649,IN
1190856934699384,34.049708088906,-118.2550788699,North America,"Los Angeles, US",1593533518031,US
174770594545536,19.431877724089,-99.105311967132,North America,"Mexico City, MX",1596550419289,MX
275485537631618,31.618859742493,-7.9434689777622,Africa,"Marrakech, MA",1523804179000,MA
135973731898458,34.055989795344,-118.25518236271,North America,"Los Angeles, US",1538526042295,US
1796056373908194,-33.869842069707,151.19343373173,Oceania,"Sydney, AU",1576582549000,AU
308240047549574,31.618933683954,-7.9431012637606,Africa,"Marrakech, MA",1523804175000,MA
843468546265136,30.050318946321,31.244368532776,Africa,"Cairo, EG",1577527863238,EG
1086249209868107,-33.455722597118,-70.631378985459,South America,"Santiago, CL",1731776694793,CL
506364000485989,41.869486840904,-87.650191153528,North America,"Chicago, US",1535236298667,US
1086805096312690,-34.605132434821,-58.400888101035,South America,"Buenos Aires, AR",1724504633194,AR
1166865083832208,43.67450186066,-79.356043010346,North America,"Toronto, CA",1579104564175,CA
1321177208277138,59.349143599868,18.05073489316,Europe,"Stockholm, SE",1468706296178,SE
1878505769408825,-36.844680369848,174.7697496483,Oceania,"Auckland, NZ",1763926864498,NZ
1347006733098591,41.394696916217,2.1758037238601,Europe,"Barcelona, ES",1740471209141,ES
308224314212510,52.219063125654,20.993745687151,Europe,"Warsaw, PL",1576328897790,PL
1001849661976915,-33.4559728462,-70.631350478148,South America,"Santiago, CL",1731853096397,CL
743665503182785,-1.2439120853559,36.844606794978,Africa,"Nairobi, KE",1512997835719,KE
1438321913170100,31.618921218846,-7.9431825278271,Africa,"Marrakech, MA",1523804176000,MA
1249781495439997,48.849751383352,2.3449541994059,Europe,"Paris, FR",1618989241408,FR
160999082638550,52.219050511821,20.99396993594,Europe,"Warsaw, PL",1576328898990,PL
3890257601092925,19.418412796831,-99.099349497062,North America,"Mexico City, MX",1596402996293,MX
262431962244921,-34.59468948533,-58.405135969821,South America,"Buenos Aires, AR",1538002691083,AR
258099956098716,-1.255833282526,36.85593933378,Africa,"Nairobi, KE",1512987092500,KE
4595294537153173,30.050295562733,31.250197226762,Africa,"Cairo, EG",1577527928261,EG
1114574747415864,4.6693828371541,-74.050447488334,South America,"Bogota, CO",1767786767676,CO
1146593342962344,52.230721581605,20.993324783766,Europe,"Warsaw, PL",1665476499000,PL
301228134878171,35.675270848115,139.74377318901,Asia,"Tokyo, JP",1516422934000,JP
155003507313573,31.631991022055,-7.95574204714,Africa,"Marrakech, MA",1670942814052,MA
1895042817774799,-36.843604246502,174.76868586494,Oceania,"Auckland, NZ",1758323834000,NZ
1916532618519935,-23.544912673334,-46.65696624792,South America,"Sao Paulo, BR",1615733312297,BR
